nombre,genero,pintura,pais,edad
Amedeo Modigliani,Expressionism,193,Italy,36
Vasiliy Kandinskiy,Expressionism,88,Russia,78
Diego Rivera,Social Realism,70,Mexico,71
Claude Monet,Impressionism,73,France,86
Rene Magritte,Surrealism,194,Belgic,69
Salvador Dali,Surrealism,139,Spain,85
Edouard Manet,Realism,90,France,51
Andrei Rublev,Byzantine,99,Russia,70
Vincent van Gogh,Post,877,Holand,37
Gustav Klimt,Symbolism,117,Austria,56
Hieronymus Bosch,Northern,137,Holand,66
Kazimir Malevich,Suprematism,126,Russia,56
Mikhail Vrubel,Symbolism,171,Russia,54
Pablo Picasso,Cubism,439,Spain,92
Peter Paul Rubens,Baroque,141,Belgic,63
Pierre-Auguste Renoir,Impressionism,336,France,78
Francisco Goya,Romanticism,291,Spain,82
Frida Kahlo,Primitivism,120,Mexico,47
El Greco,Mannerism,87,Spain,73
Albrecht Dürer,Northern,328,Germany,57
Alfred Sisley,Impressionism,259,France,60
Pieter Bruegel,Northern,134,Belgic,44
Marc Chagall,Primitivism,239,France,98
Giotto di Bondone,Proto,119,Italy,71
Sandro Botticelli,Early,164,Italy,65
Caravaggio,Baroque,55,Italy,39
Leonardo da Vinci,High,143,Italy,67
Diego Velazquez,Baroque,128,Spain,61
Henri Matisse,Impressionism,186,France,85
Jan van Eyck,Northern,81,Belgic,46
Edgar Degas,Impressionism,702,France,83
Rembrandt,Baroque,262,Holand,63
Titian,High Renaissance,255,Italy,88
Henri de Toulouse-Lautrec,Post,81,France,37
Gustave Courbet,Realism,59,France,58
Camille Pissarro,Impressionism,91,France,73
William Turner,Romanticism,66,Britain,76
Edvard Munch,Symbolism,67,Norwey,81
Paul Cezanne,Post,47,France,67
Eugene Delacroix,Romanticism,31,France,65
Henri Rousseau,Primitivism,70,France,66
Georges Seurat,Post,43,France,32
Paul Klee,"Expressionism,Abstractionism",188,Germany,61
Piet Mondrian,Neoplasticism,84,Holand,72
Joan Miro,Surrealism,102,Spain,90
Andy Warhol,Pop,181,Unitated States,59
Paul Gauguin,Symbolism,311,France,55
Raphael,High,109,Italy,37
Michelangelo,High,49,Italy,89
